,,,,% area that is greenspace,,Average PTAL score,,,
00ARGQ,E05000318,Havering,Rainham and Wennington,79.0,79.0,1.9,2.0,2.0,2.0
00ARGR,E05000319,Havering,Romford Town,8.1,8.1,4.3,4.3,4.3,4.2
00ARGS,E05000320,Havering,St. Andrew's,18.8,18.7,3.3,3.3,3.3,3.2
00ARGT,E05000321,Havering,South Hornchurch,45.0,45.1,2.4,2.4,2.4,2.5
00ARGU,E05000322,Havering,Squirrel's Heath,16.7,16.7,2.7,2.6,2.6,2.6
00ARGW,E05000323,Havering,Upminster,82.0,82.0,2.0,2.0,2.0,1.9
00ASGG,E05000324,Hillingdon,Barnhill,27.8,27.7,2.4,2.4,2.4,2.4
00ASGH,E05000325,Hillingdon,Botwell,32.2,32.2,2.7,2.8,3.0,3.1
00ASGJ,E05000326,Hillingdon,Brunel,40.5,40.5,2.7,2.8,2.8,2.4
00ASGK,E05000327,Hillingdon,Cavendish,17.7,17.7,2.1,2.1,2.1,2.1
00ASGL,E05000328,Hillingdon,Charville,44.9,44.9,2.1,2.2,2.4,2.4
00ASGM,E05000329,Hillingdon,Eastcote and East Ruislip,33.4,33.4,2.0,2.0,2.1,1.7
00ASGN,E05000330,Hillingdon,Harefield,85.5,85.5,1.3,1.4,1.5,1.4
00ASGP,E05000331,Hillingdon,Heathrow Villages,31.4,29.5,2.5,2.6,2.7,2.6
00ASGQ,E05000332,Hillingdon,Hillingdon East,48.1,48.2,2.0,2.0,2.0,1.7
00ASGR,E05000333,Hillingdon,Ickenham,55.7,55.7,2.0,2.0,2.1,2.1
00ASGS,E05000334,Hillingdon,Manor,18.0,18.1,3.0,3.0,3.0,2.9
00ASGT,E05000335,Hillingdon,Northwood,61.0,61.0,2.2,2.2,2.2,2.2
00ASGU,E05000336,Hillingdon,Northwood Hills,33.3,33.3,2.1,2.2,2.2,2.0
00ASGW,E05000337,Hillingdon,Pinkwell,26.9,26.9,2.5,2.5,2.6,2.7
00ASGX,E05000338,Hillingdon,South Ruislip,62.8,62.8,2.5,2.6,2.7,2.5
00ASGY,E05000339,Hillingdon,Townfield,30.8,30.9,2.9,2.9,3.0,3.1
00ASGZ,E05000340,Hillingdon,Uxbridge North,34.5,34.4,2.3,2.4,2.4,2.4
00ASHA,E05000341,Hillingdon,Uxbridge South,26.2,25.9,2.3,2.4,2.6,2.5
00ASHB,E05000342,Hillingdon,West Drayton,32.0,31.9,2.1,2.2,2.3,2.4
00ASHC,E05000343,Hillingdon,West Ruislip,49.5,49.5,2.4,2.4,2.4,2.2
00ASHD,E05000344,Hillingdon,Yeading,33.3,33.4,2.0,2.0,2.1,1.9
00ASHE,E05000345,Hillingdon,Yiewsley,41.3,41.3,2.4,2.4,2.5,2.5
00ATFY,E05000346,Hounslow,Bedfont,52.5,52.5,1.9,2.0,2.1,2.1
00ATFZ,E05000347,Hounslow,Brentford,42.9,42.8,3.1,3.2,3.2,3.2
00ATGA,E05000348,Hounslow,Chiswick Homefields,42.2,42.2,3.5,3.6,3.8,3.6
00ATGB,E05000349,Hounslow,Chiswick Riverside,35.2,35.2,2.9,2.9,2.9,2.8
00ATGC,E05000350,Hounslow,Cranford,26.6,26.4,2.4,2.4,2.4,2.4
00ATGD,E05000351,Hounslow,Feltham North,36.4,37.0,2.8,2.9,3.0,2.9
00ATGE,E05000352,Hounslow,Feltham West,41.4,41.4,2.2,2.2,2.3,2.4
00ATGF,E05000353,Hounslow,Hanworth,45.3,45.6,2.4,2.5,2.6,2.6
00ATGG,E05000354,Hounslow,Hanworth Park,41.4,41.4,2.4,2.4,2.5,2.6
00ATGH,E05000355,Hounslow,Heston Central,15.8,15.8,2.8,2.9,2.9,2.9
00ATGJ,E05000356,Hounslow,Heston East,27.1,27.1,2.2,2.3,2.4,2.3
00ATGK,E05000357,Hounslow,Heston West,39.1,39.1,2.1,2.2,2.3,2.3
00ATGL,E05000358,Hounslow,Hounslow Central,11.1,11.1,4.7,4.9,5.1,5.1
00ATGM,E05000359,Hounslow,Hounslow Heath,48.7,48.6,3.0,3.1,3.2,3.2
00ATGN,E05000360,Hounslow,Hounslow South,17.9,17.9,2.4,2.4,2.4,2.5
00ATGP,E05000361,Hounslow,Hounslow West,10.2,10.2,3.9,3.9,4.0,3.9
00ATGQ,E05000362,Hounslow,Isleworth,22.6,22.6,2.0,2.2,2.4,2.4
00ATGR,E05000363,Hounslow,Osterley and Spring Grove,54.2,54.3,2.8,2.9,2.9,2.8
00ATGS,E05000364,Hounslow,Syon,42.5,42.5,3.4,3.5,3.6,3.6
00ATGT,E05000365,Hounslow,Turnham Green,7.4,7.4,4.5,4.6,4.7,4.4
00AUFX,E05000366,Islington,Barnsbury,11.0,11.0,5.6,5.5,5.5,5.7
00AUFY,E05000367,Islington,Bunhill,13.5,13.5,6.5,6.5,6.5,7.1
00AUFZ,E05000368,Islington,Caledonian,16.4,16.4,5.4,5.3,5.3,5.3
00AUGA,E05000369,Islington,Canonbury,14.4,14.4,6.0,6.1,6.2,6.5
00AUGB,E05000370,Islington,Clerkenwell,9.3,9.3,6.4,6.4,6.4,6.9
00AUGC,E05000371,Islington,Finsbury Park,15.9,15.9,6.0,6.1,6.1,6.6
00AUGD,E05000372,Islington,Highbury East,21.6,21.6,4.7,4.8,4.9,4.7
00AUGE,E05000373,Islington,Highbury West,10.5,10.6,6.0,6.0,6.0,5.7
00AUGF,E05000374,Islington,Hillrise,18.3,18.3,4.3,4.2,4.1,4.2
00AUGG,E05000375,Islington,Holloway,16.9,16.9,5.8,5.8,5.9,5.9
00AUGH,E05000376,Islington,Junction,16.6,16.6,5.5,5.7,5.9,6.0
00AUGJ,E05000377,Islington,Mildmay,10.4,10.6,5.7,5.8,5.9,6.1
00AUGK,E05000378,Islington,St. George's,8.1,8.1,4.3,4.5,4.6,4.5
00AUGL,E05000379,Islington,St. Mary's,9.6,9.6,6.7,6.7,6.7,6.7
00AUGM,E05000380,Islington,St. Peter's,10.4,10.4,5.2,5.2,5.1,5.3
00AUGN,E05000381,Islington,Tollington,13.3,13.3,4.0,4.0,4.0,4.5
00AWFY,E05000382,Kensington and Chelsea,Abingdon,5.9,5.9,6.4,6.5,6.5,6.5
00AWFZ,E05000383,Kensington and Chelsea,Brompton,10.8,10.8,6.9,7.0,7.0,6.8
00AWGA,E05000384,Kensington and Chelsea,Campden,27.9,27.8,6.8,6.8,6.9,6.8
00AWGB,E05000385,Kensington and Chelsea,Colville,10.5,10.5,5.4,5.5,5.6,5.4
00AWGC,E05000386,Kensington and Chelsea,Courtfield,13.3,13.4,7.0,6.9,6.9,6.9
00AWGD,E05000387,Kensington and Chelsea,Cremorne,29.2,29.3,4.3,4.2,4.2,4.7
00AWGE,E05000388,Kensington and Chelsea,Earl's Court,10.0,10.0,7.0,7.0,7.0,7.0
00AWGF,E05000389,Kensington and Chelsea,Golborne,34.6,34.6,4.3,4.3,4.4,4.5
00AWGG,E05000390,Kensington and Chelsea,Hans Town,8.5,8.5,6.9,6.8,6.8,6.6
00AWGH,E05000391,Kensington and Chelsea,Holland,28.2,27.7,5.6,5.7,5.7,6.0
00AWGJ,E05000392,Kensington and Chelsea,Norland,15.3,15.4,5.6,5.6,5.6,5.4
00AWGK,E05000393,Kensington and Chelsea,Notting Barns,9.3,9.3,4.0,4.0,4.0,4.2
00AWGL,E05000394,Kensington and Chelsea,Pembridge,11.9,11.9,7.1,7.1,7.1,7.0
00AWGM,E05000395,Kensington and Chelsea,Queen's Gate,5.8,5.8,6.1,6.1,6.1,6.0
00AWGN,E05000396,Kensington and Chelsea,Redcliffe,28.4,28.1,6.0,6.1,6.2,6.2
00AWGP,E05000397,Kensington and Chelsea,Royal Hospital,43.1,43.1,3.8,4.4,5.1,5.0
00AWGQ,E05000398,Kensington and Chelsea,St. Charles,21.9,21.9,3.6,3.7,3.8,3.8
00AWGR,E05000399,Kensington and Chelsea,Stanley,9.1,9.1,5.3,5.5,5.8,5.6
00AXFX,E05000400,Kingston upon Thames,Alexandra,43.5,43.7,2.1,2.1,2.1,2.2
00AXFY,E05000401,Kingston upon Thames,Berrylands,10.8,10.9,2.4,2.5,2.5,2.8
00AXFZ,E05000402,Kingston upon Thames,Beverley,26.5,26.4,2.6,2.6,2.7,2.8
00AXGA,E05000403,Kingston upon Thames,Canbury,7.0,7.0,3.7,3.8,3.9,4.1
00AXGB,E05000404,Kingston upon Thames,Chessington North and Hook,27.5,27.5,2.3,2.3,2.4,2.4
00AXGC,E05000405,Kingston upon Thames,Chessington South,75.7,75.7,2.2,2.2,2.3,2.4
00AXGD,E05000406,Kingston upon Thames,Coombe Hill,42.1,42.1,2.5,2.4,2.4,2.5
00AXGE,E05000407,Kingston upon Thames,Coombe Vale,11.0,11.0,2.3,2.3,2.3,2.3
00AXGF,E05000408,Kingston upon Thames,Grove,23.6,23.6,4.2,4.2,4.1,4.2
00AXGG,E05000409,Kingston upon Thames,Norbiton,34.5,34.5,3.4,3.4,3.4,3.6
00AXGH,E05000410,Kingston upon Thames,Old Malden,21.6,21.3,2.4,2.4,2.4,2.7
00AXGJ,E05000411,Kingston upon Thames,St. James,28.2,28.2,2.6,2.6,2.5,2.6
00AXGK,E05000412,Kingston upon Thames,St. Mark's,23.9,23.9,3.7,3.7,3.7,3.7
00AXGL,E05000413,Kingston upon Thames,Surbiton Hill,5.8,5.8,2.9,3.1,3.4,3.3
00AXGM,E05000414,Kingston upon Thames,Tolworth and Hook Rise,33.1,33.1,2.1,2.2,2.3,2.3
00AXGN,E05000415,Kingston upon Thames,Tudor,22.7,22.7,2.3,2.3,2.2,2.3
00AYFZ,E05000416,Lambeth,Bishop's,31.6,31.6,7.5,7.4,7.4,7.6
00AYGA,E05000417,Lambeth,Brixton Hill,13.1,13.1,4.9,4.9,4.9,4.9
00AYGB,E05000418,Lambeth,Clapham Common,27.9,27.9,4.3,4.3,4.3,4.1
00AYGC,E05000419,Lambeth,Clapham Town,13.2,13.1,5.2,5.2,5.2,5.1
00AYGD,E05000420,Lambeth,Coldharbour,14.4,14.4,5.2,5.3,5.3,5.4
00AYGE,E05000421,Lambeth,Ferndale,10.2,10.3,6.3,6.3,6.3,6.3
00AYGF,E05000422,Lambeth,Gipsy Hill,25.7,25.7,3.6,3.6,3.6,3.7
00AYGG,E05000423,Lambeth,Herne Hill,37.9,37.9,4.2,4.2,4.2,4.5
00AYGH,E05000424,Lambeth,Knight's Hill,13.3,13.3,3.8,3.9,4.0,4.1
00AYGJ,E05000425,Lambeth,Larkhall,20.0,20.0,5.3,5.4,5.4,5.2
00AYGK,E05000426,Lambeth,Oval,24.9,24.9,6.4,6.5,6.6,6.9
00AYGL,E05000427,Lambeth,Prince's,20.7,20.7,6.0,6.0,6.0,6.3
00AYGM,E05000428,Lambeth,St. Leonard's,13.2,12.1,5.6,5.6,5.6,5.9
00AYGN,E05000429,Lambeth,Stockwell,13.2,13.2,5.6,5.6,5.7,5.4
00AYGP,E05000430,Lambeth,Streatham Hill,14.2,14.1,5.0,5.0,5.0,5.3
00AYGQ,E05000431,Lambeth,Streatham South,26.6,26.0,3.3,3.6,3.8,4.1
00AYGR,E05000432,Lambeth,Streatham Wells,18.3,18.3,4.2,4.3,4.3,4.4
00AYGS,E05000433,Lambeth,Thornton,22.4,22.4,3.2,3.2,3.2,3.5
00AYGT,E05000434,Lambeth,Thurlow Park,19.7,19.7,4.8,4.8,4.8,5.0
00AYGU,E05000435,Lambeth,Tulse Hill,16.6,16.6,4.4,4.4,4.4,4.4
00AYGW,E05000436,Lambeth,Vassall,16.8,16.8,4.4,4.5,4.5,4.4
00AZGD,E05000437,Lewisham,Bellingham,46.7,46.7,2.9,2.9,2.9,3.0
00AZGE,E05000438,Lewisham,Blackheath,34.6,34.6,4.8,4.8,4.8,4.9
00AZGF,E05000439,Lewisham,Brockley,13.5,13.3,5.2,5.3,5.3,5.8
00AZGG,E05000440,Lewisham,Catford South,3.0,3.0,3.2,3.2,3.2,3.3
00AZGH,E05000441,Lewisham,Crofton Park,20.7,20.7,3.8,3.8,3.7,4.1
00AZGJ,E05000442,Lewisham,Downham,30.1,30.1,3.0,3.1,3.2,3.3
00AZGK,E05000443,Lewisham,Evelyn,22.6,22.6,3.0,3.1,3.1,3.1
00AZGL,E05000444,Lewisham,Forest Hill,22.2,22.2,3.5,3.6,3.8,4.0
00AZGM,E05000445,Lewisham,Grove Park,21.6,21.6,3.1,3.1,3.1,3.2
00AZGN,E05000446,Lewisham,Ladywell,25.6,25.7,4.2,4.2,4.2,4.5
00AZGP,E05000447,Lewisham,Lee Green,11.9,11.7,3.2,3.3,3.4,3.6
00AZGQ,E05000448,Lewisham,Lewisham Central,13.6,13.8,4.8,4.9,4.9,5.2
00AZGR,E05000449,Lewisham,New Cross,16.6,16.5,4.2,4.3,4.4,4.4
00AZGS,E05000450,Lewisham,Perry Vale,9.7,9.7,3.3,3.3,3.3,3.4
00AZGT,E05000451,Lewisham,Rushey Green,24.1,24.0,4.9,4.9,5.0,5.2
00AZGU,E05000452,Lewisham,Sydenham,13.1,13.1,3.9,3.9,4.0,4.1
00AZGW,E05000453,Lewisham,Telegraph Hill,16.1,16.5,4.4,4.5,4.6,5.2
00AZGX,E05000454,Lewisham,Whitefoot,27.9,27.9,2.6,2.7,2.7,2.8
00BAFX,E05000455,Merton,Abbey,12.8,12.8,5.0,5.1,5.2,5.1
00BAFY,E05000456,Merton,Cannon Hill,42.7,42.7,2.6,2.6,2.6,2.6
00BAFZ,E05000457,Merton,Colliers Wood,14.5,14.6,4.0,4.1,4.1,3.9
00BAGA,E05000458,Merton,Cricket Green,50.0,50.0,3.1,3.2,3.3,2.9
00BAGB,E05000459,Merton,Dundonald,15.2,15.3,4.6,4.5,4.5,4.9
00BAGC,E05000460,Merton,Figge's Marsh,23.0,23.0,3.7,3.7,3.6,3.6
00BAGD,E05000461,Merton,Graveney,12.3,12.3,3.4,3.4,3.5,3.4
00BAGE,E05000462,Merton,Hillside,5.7,5.6,5.0,5.0,5.0,5.4
00BAGF,E05000463,Merton,Lavender Fields,19.0,18.6,2.6,2.6,2.5,2.7
00BAGG,E05000464,Merton,Longthornton,36.6,36.6,2.8,2.8,2.9,2.8
00BAGH,E05000465,Merton,Lower Morden,34.3,34.0,2.2,2.2,2.2,2.2
00BAGJ,E05000466,Merton,Merton Park,18.9,18.8,3.8,3.9,3.9,3.8
00BAGK,E05000467,Merton,Pollards Hill,52.8,52.8,2.7,2.7,2.6,2.6
00BAGL,E05000468,Merton,Ravensbury,37.8,37.8,3.2,3.2,3.2,2.9
00BAGM,E05000469,Merton,Raynes Park,24.4,24.4,3.4,3.4,3.4,3.8
00BAGN,E05000470,Merton,St. Helier,41.6,41.6,2.9,3.0,3.0,3.1
00BAGP,E05000471,Merton,Trinity,15.7,15.7,3.8,3.8,3.8,3.9
00BAGQ,E05000472,Merton,Village,62.2,62.2,2.3,2.3,2.3,2.4
00BAGR,E05000473,Merton,West Barnes,32.3,32.4,2.6,2.6,2.7,2.9
00BAGS,E05000474,Merton,Wimbledon Park,28.5,28.5,3.1,3.2,3.2,3.1
00BBGB,E05000475,Newham,Beckton,30.9,30.9,2.8,2.8,2.9,2.8
00BBGC,E05000476,Newham,Boleyn,6.1,6.1,4.2,4.2,4.1,4.0
00BBGD,E05000477,Newham,Canning Town North,21.7,21.6,4.4,4.4,4.5,4.7
00BBGE,E05000478,Newham,Canning Town South,26.6,26.6,3.5,3.6,3.7,3.6
00BBGF,E05000479,Newham,Custom House,30.6,30.6,2.7,2.9,3.1,3.2
00BBGG,E05000480,Newham,East Ham Central,10.9,10.8,4.8,4.7,4.7,4.7
00BBGH,E05000481,Newham,East Ham North,12.3,12.4,4.4,4.4,4.4,4.4
00BBGJ,E05000482,Newham,East Ham South,23.5,23.5,2.6,2.6,2.7,2.6
00BBGK,E05000483,Newham,Forest Gate North,13.8,13.8,3.1,3.1,3.1,3.2
00BBGL,E05000484,Newham,Forest Gate South,2.2,2.2,3.8,3.8,3.7,3.9
00BBGM,E05000485,Newham,Green Street East,2.4,2.4,3.8,3.8,3.8,3.7
00BBGN,E05000486,Newham,Green Street West,3.2,3.2,4.0,4.0,4.0,4.0
00BBGP,E05000487,Newham,Little Ilford,48.6,48.6,2.8,2.7,2.6,2.7
00BBGQ,E05000488,Newham,Manor Park,26.6,26.6,4.0,3.9,3.8,4.0
00BBGR,E05000489,Newham,Plaistow North,10.3,10.7,4.0,4.2,4.4,4.4
00BBGS,E05000490,Newham,Plaistow South,14.5,14.6,4.3,4.4,4.5,4.4
00BBGT,E05000491,Newham,Royal Docks,57.8,56.8,2.5,2.5,2.5,2.8
00BBGU,E05000492,Newham,Stratford and New Town,11.2,44.7,5.3,5.4,5.6,5.8
00BBGW,E05000493,Newham,Wall End,33.9,33.9,3.7,3.7,3.8,3.7
00BBGX,E05000494,Newham,West Ham,27.2,27.2,4.3,4.7,5.1,4.7
00BCFY,E05000495,Redbridge,Aldborough,76.8,78.2,2.5,2.6,2.7,2.7
00BCFZ,E05000496,Redbridge,Barkingside,1.3,1.3,3.3,3.3,3.3,3.2
00BCGA,E05000497,Redbridge,Bridge,36.0,35.8,1.8,2.2,2.5,2.5
00BCGB,E05000498,Redbridge,Chadwell,4.8,5.0,2.5,2.5,2.4,2.4
00BCGC,E05000499,Redbridge,Church End,3.3,4.8,2.8,2.8,2.9,2.7
00BCGD,E05000500,Redbridge,Clayhall,19.9,22.0,2.3,2.3,2.3,2.3
00BCGE,E05000501,Redbridge,Clementswood,7.7,7.1,3.4,3.4,3.4,3.4
00BCGF,E05000502,Redbridge,Cranbrook,33.4,39.9,3.7,3.8,3.8,3.8
00BCGG,E05000503,Redbridge,Fairlop,48.2,48.4,2.8,2.9,3.0,2.8
00BCGH,E05000504,Redbridge,Fullwell,24.9,23.7,2.3,2.3,2.3,2.4
00BCGJ,E05000505,Redbridge,Goodmayes,30.6,27.7,3.6,3.6,3.6,3.7
00BCGK,E05000506,Redbridge,Hainault,59.8,62.6,2.4,2.5,2.5,2.4
00BCGL,E05000507,Redbridge,Loxford,18.3,16.8,3.5,3.4,3.3,3.4
00BCGM,E05000508,Redbridge,Mayfield,16.8,14.3,2.7,2.7,2.8,2.7
00BCGN,E05000509,Redbridge,Monkhams,29.9,31.0,2.6,2.6,2.6,2.6
00BCGP,E05000510,Redbridge,Newbury,21.4,21.4,3.1,3.2,3.2,3.1
00BCGQ,E05000511,Redbridge,Roding,35.7,35.7,2.4,2.4,2.4,2.5
00BCGR,E05000512,Redbridge,Seven Kings,30.0,21.4,3.1,3.1,3.1,3.1
00BCGS,E05000513,Redbridge,Snaresbrook,10.6,12.6,3.7,3.7,3.7,3.6
00BCGT,E05000514,Redbridge,Valentines,13.8,13.3,4.5,4.4,4.2,4.5
00BCGU,E05000515,Redbridge,Wanstead,64.2,66.5,2.4,2.5,2.5,2.5
00BDFW,E05000516,Richmond upon Thames,Barnes,54.4,54.4,3.2,3.2,3.3,3.4
00BDFX,E05000517,Richmond upon Thames,East Sheen,76.7,76.6,2.5,2.5,2.6,2.6
00BDFY,E05000518,Richmond upon Thames,Fulwell and Hampton Hill,32.7,32.7,2.9,3.0,3.0,3.2
00BDFZ,E05000519,Richmond upon Thames,"Ham, Petersham & Richmond Riverside",81.9,81.9,2.1,2.1,2.1,2.1
00BDGA,E05000520,Richmond upon Thames,Hampton,74.7,74.7,2.5,2.6,2.6,2.7
00BDGB,E05000521,Richmond upon Thames,Hampton North,28.2,28.2,2.2,2.2,2.1,2.1
00BDGC,E05000522,Richmond upon Thames,Hampton Wick,50.0,50.0,2.5,2.5,2.6,2.7
00BDGD,E05000523,Richmond upon Thames,Heathfield,27.0,27.1,2.0,2.0,2.0,2.0
00BDGE,E05000524,Richmond upon Thames,Kew,56.6,56.7,3.0,3.1,3.2,2.9
00BDGF,E05000525,Richmond upon Thames,Mortlake and Barnes Common,41.7,39.1,3.1,3.1,3.2,3.0
00BDGG,E05000526,Richmond upon Thames,North Richmond,54.1,54.1,4.3,4.4,4.4,4.4
00BDGH,E05000527,Richmond upon Thames,St. Margarets & North Twickenham,23.5,23.6,3.0,3.0,3.1,3.1
00BDGJ,E05000528,Richmond upon Thames,South Richmond,47.3,47.4,4.1,4.1,4.1,4.2
00BDGK,E05000529,Richmond upon Thames,South Twickenham,26.7,26.7,3.4,3.4,3.5,3.5
00BDGL,E05000530,Richmond upon Thames,Teddington,64.0,64.0,3.0,3.0,3.1,3.2
00BDGM,E05000531,Richmond upon Thames,Twickenham Riverside,37.8,37.8,4.2,4.2,4.3,4.5
00BDGN,E05000532,Richmond upon Thames,West Twickenham,45.6,45.6,2.7,2.7,2.7,2.7
00BDGP,E05000533,Richmond upon Thames,Whitton,21.3,21.2,2.4,2.4,2.3,2.4
00BEGC,E05000534,Southwark,Brunswick Park,7.0,7.0,3.9,4.0,4.0,4.1
00BEGD,E05000535,Southwark,Camberwell Green,1.6,1.6,5.6,5.6,5.7,5.6
00BEGE,E05000536,Southwark,Cathedrals,15.3,15.7,7.7,7.7,7.7,8.0
00BEGF,E05000537,Southwark,Chaucer,5.6,5.6,6.1,6.5,6.9,7.2
00BEGG,E05000538,Southwark,College,43.7,43.7,3.2,3.2,3.3,3.4
00BEGH,E05000539,Southwark,East Dulwich,0.7,0.7,4.1,4.1,4.1,4.1
00BEGJ,E05000540,Southwark,East Walworth,24.1,24.1,5.8,5.6,5.3,5.8
00BEGK,E05000541,Southwark,Faraday,30.0,30.0,4.3,4.4,4.5,4.7
00BEGL,E05000542,Southwark,Grange,4.5,4.5,4.4,4.8,5.1,5.1
00BEGM,E05000543,Southwark,Livesey,4.5,4.5,4.1,4.2,4.2,4.3
00BEGN,E05000544,Southwark,Newington,3.8,3.7,5.9,5.9,5.8,5.8
00BEGP,E05000545,Southwark,Nunhead,20.1,20.1,4.4,4.4,4.5,4.8
00BEGQ,E05000546,Southwark,Peckham,7.0,7.0,4.1,4.1,4.1,4.1
00BEGR,E05000547,Southwark,Peckham Rye,45.7,45.7,3.4,3.4,3.4,3.5
00BEGS,E05000548,Southwark,Riverside,23.2,23.2,4.5,4.6,4.6,4.4
00BEGT,E05000549,Southwark,Rotherhithe,34.1,34.1,4.7,4.8,4.9,5.3
00BEGU,E05000550,Southwark,South Bermondsey,3.0,3.0,3.6,3.6,3.7,3.7
00BEGW,E05000551,Southwark,South Camberwell,20.0,19.9,4.3,4.3,4.3,4.6
00BEGX,E05000552,Southwark,Surrey Docks,40.3,40.3,2.7,2.7,2.7,2.9
00BEGY,E05000553,Southwark,The Lane,6.0,6.0,5.6,5.6,5.7,6.0
00BEGZ,E05000554,Southwark,Village,33.8,33.8,3.7,3.7,3.8,4.1
00BFGC,E05000555,Sutton,Beddington North,53.0,53.0,2.7,2.6,2.6,2.6
00BFGD,E05000556,Sutton,Beddington South,39.1,39.0,2.0,2.0,2.0,2.0
00BFGE,E05000557,Sutton,Belmont,19.0,19.0,2.1,2.1,2.1,2.3
00BFGF,E05000558,Sutton,Carshalton Central,27.0,26.9,3.1,3.1,3.1,3.3
00BFGG,E05000559,Sutton,Carshalton South and Clockhouse,68.2,68.2,1.9,2.0,2.0,2.1
00BFGH,E05000560,Sutton,Cheam,24.7,24.7,2.0,2.0,2.1,2.2
00BFGJ,E05000561,Sutton,Nonsuch,10.4,10.4,2.2,2.2,2.2,2.3
00BFGK,E05000562,Sutton,St. Helier,26.0,25.8,2.8,2.9,2.9,2.9
00BFGL,E05000563,Sutton,Stonecot,21.5,21.5,2.4,2.4,2.5,2.5
00BFGM,E05000564,Sutton,Sutton Central,12.9,12.9,4.1,4.2,4.3,4.9
00BFGN,E05000565,Sutton,Sutton North,27.0,28.5,3.0,3.1,3.1,3.3
00BFGP,E05000566,Sutton,Sutton South,8.1,8.1,3.2,3.3,3.3,3.3
00BFGQ,E05000567,Sutton,Sutton West,23.1,23.1,3.2,3.4,3.6,3.5
00BFGR,E05000568,Sutton,The Wrythe,18.0,18.0,2.5,2.5,2.5,2.6
00BFGS,E05000569,Sutton,Wallington North,19.9,19.2,3.3,3.3,3.4,3.5
00BFGT,E05000570,Sutton,Wallington South,9.5,9.5,3.2,3.2,3.2,3.4
00BFGU,E05000571,Sutton,Wandle Valley,40.5,40.5,2.2,2.2,2.3,2.4
00BFGW,E05000572,Sutton,Worcester Park,22.3,22.3,2.3,2.3,2.3,2.4
00BGFW,E05000573,Tower Hamlets,Bethnal Green North,6.1,6.3,6.1,6.0,6.0,6.0
00BGFX,E05000574,Tower Hamlets,Bethnal Green South,16.9,16.9,6.7,6.7,6.7,6.8
00BGFY,E05000575,Tower Hamlets,Blackwall and Cubitt Town,42.2,42.2,3.6,3.5,3.5,3.8
00BGFZ,E05000576,Tower Hamlets,Bow East,30.3,39.0,3.6,3.7,3.8,3.6
00BGGA,E05000577,Tower Hamlets,Bow West,43.0,42.8,5.5,5.4,5.3,5.2
00BGGB,E05000578,Tower Hamlets,Bromley-by-Bow,11.7,11.6,4.4,4.3,4.2,4.2
00BGGC,E05000579,Tower Hamlets,East India and Lansbury,12.5,12.4,3.4,3.4,3.4,3.5
00BGGD,E05000580,Tower Hamlets,Limehouse,23.4,23.3,4.6,4.5,4.4,5.0
00BGGE,E05000581,Tower Hamlets,Mile End and Globe Town,12.4,12.5,5.6,5.5,5.4,5.4
00BGGF,E05000582,Tower Hamlets,Mile End East,33.4,33.3,5.3,5.3,5.2,5.3
00BGGG,E05000583,Tower Hamlets,Millwall,35.0,35.0,3.5,3.4,3.3,3.4
00BGGH,E05000584,Tower Hamlets,St. Dunstan's and Stepney Green,21.2,21.2,5.1,5.0,4.9,5.4
00BGGJ,E05000585,Tower Hamlets,St. Katherine's and Wapping,37.0,36.9,3.8,3.8,3.8,4.4
00BGGK,E05000586,Tower Hamlets,Shadwell,24.2,24.2,5.2,5.1,5.0,6.0
00BGGL,E05000587,Tower Hamlets,Spitalfields and Banglatown,1.4,1.4,6.2,6.4,6.6,6.9
00BGGM,E05000588,Tower Hamlets,Weavers,15.0,15.4,5.3,5.1,5.0,5.5
00BGGN,E05000589,Tower Hamlets,Whitechapel,5.4,5.4,6.3,6.3,6.2,6.8
00BHFX,E05000590,Waltham Forest,Cann Hall,5.0,5.0,2.9,2.9,2.9,2.9
00BHFY,E05000591,Waltham Forest,Cathall,22.6,23.5,4.6,4.6,4.6,4.3
00BHFZ,E05000592,Waltham Forest,Chapel End,31.2,31.2,2.9,2.9,2.9,2.9
00BHGA,E05000593,Waltham Forest,Chingford Green,54.9,54.9,2.7,2.7,2.8,2.8
00BHGB,E05000594,Waltham Forest,Endlebury,18.5,18.5,2.2,2.3,2.3,2.4
00BHGC,E05000595,Waltham Forest,Forest,40.4,40.4,4.0,4.1,4.2,4.3
00BHGD,E05000596,Waltham Forest,Grove Green,4.3,4.3,4.1,4.2,4.4,4.2
00BHGE,E05000597,Waltham Forest,Hale End and Highams Park,41.4,41.4,2.4,2.4,2.4,2.5
00BHGF,E05000598,Waltham Forest,Hatch Lane,37.7,37.7,2.4,2.4,2.4,2.5
00BHGG,E05000599,Waltham Forest,High Street,56.4,56.6,4.2,4.2,4.2,4.4
00BHGH,E05000600,Waltham Forest,Higham Hill,56.7,56.7,2.6,2.6,2.6,2.6
00BHGJ,E05000601,Waltham Forest,Hoe Street,10.6,10.6,5.0,5.1,5.1,5.2
00BHGK,E05000602,Waltham Forest,Larkswood,31.4,31.4,2.7,2.8,2.8,2.8
00BHGL,E05000603,Waltham Forest,Lea Bridge,40.1,40.1,3.6,3.6,3.6,3.6
00BHGM,E05000604,Waltham Forest,Leyton,27.1,27.6,3.8,3.8,3.8,3.8
00BHGN,E05000605,Waltham Forest,Leytonstone,5.8,5.8,4.3,4.9,5.4,5.5
